#{"t_start": 1650969064.008192, "env_id": "HalfCheetah-v3"}
r,l,t
-374.452167,1000,1.070018
-467.460078,1000,2.159707
-471.094762,1000,3.205894
-270.212227,1000,4.23668
-321.501761,1000,5.303421
-379.954572,1000,6.359769
-409.977211,1000,7.397242
-401.194162,1000,8.434577
-301.515416,1000,9.530375
-178.717278,1000,10.572071
-196.352392,1000,11.600064
-158.120493,1000,12.632367
-60.857724,1000,13.714936
-61.704406,1000,14.750104
-34.385433,1000,15.78125
62.649033,1000,16.867606
-156.974906,1000,17.904149
-6.822426,1000,18.943426
26.011588,1000,19.993278
24.547869,1000,21.068227
69.276101,1000,22.094043
14.423801,1000,23.159138
70.260279,1000,24.23898
-52.369522,1000,25.292439
-126.964213,1000,26.34886
29.993906,1000,30.118896
62.863917,1000,31.18622
94.496762,1000,32.280803
179.748535,1000,33.318763
62.144823,1000,34.353214
115.485324,1000,35.389849
117.17041,1000,36.484883
223.521415,1000,37.507364
155.508915,1000,38.534813
312.686702,1000,39.55772
226.525409,1000,40.640721
99.85475,1000,41.693969
261.477613,1000,42.751335
246.308151,1000,43.770613
154.68959,1000,44.830607
191.944715,1000,45.847682
239.604063,1000,46.863423
270.829765,1000,47.882752
177.122231,1000,48.950292
330.512586,1000,49.963135
151.195084,1000,50.985359
387.848894,1000,52.029782
213.321872,1000,53.148858
376.895918,1000,54.16636
318.30336,1000,55.189394
144.533983,1000,58.965131
-35.084195,1000,59.976153
256.937184,1000,61.049899
299.322258,1000,62.090469
319.658107,1000,63.148328
207.041807,1000,64.168877
371.708534,1000,65.234695
222.045644,1000,66.280601
322.363099,1000,67.363498
157.771539,1000,68.445188
213.094037,1000,69.463198
246.623719,1000,70.478538
324.317203,1000,71.523445
295.814765,1000,72.649539
351.826698,1000,73.703123
369.192387,1000,74.723777
215.008655,1000,75.743071
314.704935,1000,76.831635
307.042332,1000,77.878831
315.493052,1000,78.90523
-3.424573,1000,79.921536
258.408151,1000,81.015184
390.231766,1000,82.062025
431.444078,1000,83.11317
364.630128,1000,84.176699
375.283696,1000,87.923186
81.436376,1000,89.006438
342.770448,1000,90.057091
490.953167,1000,91.088736
201.470682,1000,92.133515
186.003262,1000,93.207133
484.323689,1000,94.249099
353.599747,1000,95.298265
459.868038,1000,96.376258
443.982069,1000,97.483043
447.663277,1000,98.568367
426.088167,1000,99.628878
415.084729,1000,100.740626
249.244607,1000,101.867522
371.58482,1000,102.933221
377.442412,1000,103.972538
466.489526,1000,105.092415
503.693099,1000,106.125645
406.515912,1000,107.181535
401.966917,1000,108.278223
410.131137,1000,109.368089
471.693691,1000,110.419516
489.356675,1000,111.453174
493.430605,1000,112.530882
516.219864,1000,113.597122
527.222772,1000,117.403883
561.430939,1000,118.441529
480.649448,1000,119.483736
461.669202,1000,120.576589
417.494572,1000,121.619801
394.304531,1000,122.659342
567.751562,1000,123.687658
467.743058,1000,124.763455
471.018524,1000,125.801155
343.616177,1000,126.853435
514.141507,1000,127.885535
489.347265,1000,128.954889
670.817367,1000,129.999725
460.589417,1000,131.109775
508.771343,1000,132.16645
572.520627,1000,133.233426
618.584276,1000,134.256755
632.544633,1000,135.290687
484.192113,1000,136.372388
621.849476,1000,137.392435
424.701221,1000,138.41426
544.218533,1000,139.43257
588.225526,1000,140.515747
325.569451,1000,141.560406
285.771963,1000,142.610037
318.789128,1000,146.363242
626.26886,1000,147.408164
97.886457,1000,148.493496
521.090782,1000,149.516942
-174.07451,1000,150.556019
523.175363,1000,151.582873
474.554876,1000,152.690268
503.117135,1000,153.720995
542.045916,1000,154.743501
355.092806,1000,155.760394
667.501562,1000,156.826777
737.865995,1000,157.847947
572.645536,1000,158.873126
633.335566,1000,159.893533
726.941228,1000,160.949452
711.255433,1000,162.002542
686.389111,1000,163.068254
533.554,1000,164.112441
522.623952,1000,165.170334
593.617901,1000,166.186371
627.478379,1000,167.199944
665.610648,1000,168.238233
779.598539,1000,169.292925
-6.131591,1000,170.308991
620.869437,1000,171.328395
638.430801,1000,175.108637
741.501592,1000,176.187832
845.885222,1000,177.321871
705.415542,1000,178.375034
789.326791,1000,179.393869
20.626637,1000,180.495049
740.213068,1000,181.53956
402.802243,1000,182.581748
811.58915,1000,183.647378
811.388156,1000,184.705719
757.052302,1000,185.735384
807.090184,1000,186.801266
733.931698,1000,187.917286
796.996152,1000,188.999364
