#{"t_start": 1650968531.6147368, "env_id": "Pendulum-v1"}
r,l,t
-884.907845,200,0.060583
-1014.273416,200,0.107118
-787.780491,200,0.151167
-1354.223691,200,0.193824
-928.214557,200,0.237076
-880.666473,200,0.282467
-1080.700418,200,0.32592
-1170.062551,200,0.371132
-887.521725,200,0.414002
-1181.250913,200,0.458813
-1162.435797,200,0.501527
-865.682059,200,0.544247
-1176.519481,200,0.587819
-991.099242,200,0.633211
-1194.314337,200,0.678199
-870.155327,200,0.722068
-1329.113658,200,0.765915
-858.49798,200,0.81038
-1535.142533,200,0.855205
-1487.369947,200,0.899686
-938.572114,200,0.945832
-868.83353,200,0.990353
-1067.861554,200,1.031931
-894.897157,200,1.074244
-910.178281,200,1.12073
-1292.749598,200,1.168433
-1188.145641,200,1.213666
-1091.657371,200,1.25919
-1665.17535,200,1.306634
-998.315299,200,1.352446
-1718.329004,200,1.398762
-1195.47774,200,1.442975
-850.042549,200,1.495032
-942.634727,200,1.574654
-879.556326,200,1.628029
-1070.475379,200,1.675727
-1584.636965,200,1.720263
-1162.195814,200,1.768309
-1325.136124,200,1.81224
-869.2959,200,1.862745
-1278.915818,200,1.912154
-742.453736,200,1.961265
-896.798406,200,2.004634
-1262.836938,200,2.046728
-963.204393,200,2.0914
-971.54579,200,2.141018
-1212.687028,200,2.189546
-961.389041,200,2.237033
-936.002255,200,2.284358
-1211.642461,200,2.331513
-1066.633889,200,2.416286
-1426.71109,200,4.310348
-1713.72434,200,6.283312
-1597.986249,200,8.406506
-1511.265086,200,10.42052
-1266.870067,200,12.373028
-1237.326714,200,14.411571
-1135.768254,200,16.441771
