#{"t_start": 1650970409.2282271, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.036151
-200.0,200,0.059556
-200.0,200,0.080798
-200.0,200,0.104822
-200.0,200,0.126502
-200.0,200,0.400546
-200.0,200,0.682085
-200.0,200,0.942979
-200.0,200,1.22876
-200.0,200,1.501259
-200.0,200,1.780924
-200.0,200,2.087646
-200.0,200,2.404783
-200.0,200,2.692351
-200.0,200,2.997975
-200.0,200,3.281487
-200.0,200,3.591513
-200.0,200,3.87276
-200.0,200,4.184371
-200.0,200,4.475436
-200.0,200,4.786953
-200.0,200,5.107332
-200.0,200,5.412892
-200.0,200,5.701994
-200.0,200,6.042242
-200.0,200,6.331453
-200.0,200,6.641373
-200.0,200,6.9399
-200.0,200,7.260324
-200.0,200,7.550845
-200.0,200,7.863169
-200.0,200,8.181196
-200.0,200,8.509881
-200.0,200,8.802233
-200.0,200,9.151
-200.0,200,9.444715
-200.0,200,9.766397
-200.0,200,10.078983
-200.0,200,10.396247
-200.0,200,10.689783
-200.0,200,11.015874
-200.0,200,11.314401
-200.0,200,11.63273
-200.0,200,11.929166
-200.0,200,12.262528
-200.0,200,12.558937
-200.0,200,12.882792
-200.0,200,13.207897
-200.0,200,13.535662
-200.0,200,13.837879
-200.0,200,14.178245
-200.0,200,14.480276
-200.0,200,14.816196
-200.0,200,15.120122
-200.0,200,15.442766
-200.0,200,15.746978
-200.0,200,16.114451
-200.0,200,16.425981
-200.0,200,16.75555
-200.0,200,17.064323
-200.0,200,17.395395
-200.0,200,17.70075
-200.0,200,18.043787
-200.0,200,18.356038
-200.0,200,18.696112
-200.0,200,19.006436
-200.0,200,19.34238
-200.0,200,19.654082
-200.0,200,20.010343
-200.0,200,20.338047
-200.0,200,20.675979
-200.0,200,20.988196
-200.0,200,21.329875
-200.0,200,21.642312
-200.0,200,21.996908
-200.0,200,22.319095
-200.0,200,22.659502
-200.0,200,22.991512
-200.0,200,23.344433
-200.0,200,23.663785
-200.0,200,24.041126
-200.0,200,24.391364
-200.0,200,24.742199
-200.0,200,25.069585
-200.0,200,25.422119
-200.0,200,25.750447
-200.0,200,26.121413
-200.0,200,26.447445
-200.0,200,26.800458
-200.0,200,27.149608
-200.0,200,27.501619
-200.0,200,27.829822
-200.0,200,28.187559
-200.0,200,28.515552
-200.0,200,28.865184
-200.0,200,29.200165
-200.0,200,29.560662
-200.0,200,29.890295
-200.0,200,30.265209
-200.0,200,30.596246
-200.0,200,30.953594
-200.0,200,31.321256
-200.0,200,31.677057
-200.0,200,32.009201
-200.0,200,32.365699
-200.0,200,32.69574
-200.0,200,33.057591
-200.0,200,33.389452
-200.0,200,33.7525
-200.0,200,34.100375
-200.0,200,34.460375
-200.0,200,34.804195
-200.0,200,35.212707
-200.0,200,35.556172
-200.0,200,35.923388
-200.0,200,36.266476
-200.0,200,36.631019
-200.0,200,36.971201
-200.0,200,37.332895
-200.0,200,37.6706
-200.0,200,38.049493
-200.0,200,38.388462
-200.0,200,38.762071
-200.0,200,39.119445
-200.0,200,39.48618
-200.0,200,40.1255
-200.0,200,40.489924
-200.0,200,40.827379
-200.0,200,41.193572
-200.0,200,41.530465
-200.0,200,41.891562
-200.0,200,42.238784
