#{"t_start": 1650885774.276392, "env_id": "CartPole-v1"}
r,l,t
28.0,28,1.323285
45.0,45,1.519358
31.0,31,1.595224
15.0,15,1.60323
40.0,40,1.688012
31.0,31,1.761511
141.0,141,2.129831
182.0,182,2.583418
146.0,146,2.897734
220.0,220,3.425191
468.0,468,4.548196
454.0,454,5.641921
500.0,500,6.779979
500.0,500,7.972598
485.0,485,9.975838
294.0,294,10.651958
479.0,479,11.844223
500.0,500,13.175206
500.0,500,14.441607
500.0,500,15.587248
500.0,500,16.797979
500.0,500,18.785982
500.0,500,20.11488
500.0,500,21.596656
500.0,500,22.790672
500.0,500,24.008248
500.0,500,25.296278
500.0,500,27.550547
500.0,500,28.837259
500.0,500,30.186794
