#{"t_start": 1651074701.237304, "env_id": "HalfCheetah-v3"}
r,l,t
-204.59255,1000,0.354966
-276.780719,1000,0.683087
-177.393621,1000,1.001827
-343.867752,1000,1.320047
-292.257802,1000,1.652979
-253.092348,1000,1.969256
-386.056439,1000,2.28804
-307.619016,1000,2.592744
-160.313221,1000,2.909159
-206.830059,1000,3.219877
-310.968365,1000,20.75617
-217.272087,1000,38.387908
-168.247246,1000,56.05391
-229.323102,1000,73.704029
-289.031762,1000,91.31535
-201.622661,1000,108.951287
-219.031588,1000,126.615167
-208.109811,1000,144.118549
-180.842261,1000,161.712371
-171.218477,1000,179.315186
-251.920676,1000,196.920232
-251.59571,1000,214.452013
-155.127121,1000,232.011812
