#{"t_start": 1649920991.0590699, "env_id": "Pendulum-v1"}
r,l,t
-987.221632,200,1.657439
-1477.017127,200,4.81833
-1403.125484,200,8.029706
-1565.072267,200,11.258471
-1442.755323,200,14.646826
-1486.257808,200,18.030085
-1490.502065,200,21.432599
-1174.941403,200,24.843588
-1130.752107,200,28.271004
-1037.369387,200,31.669573
-994.384038,200,35.067647
-775.036833,200,38.476873
-661.96632,200,41.892538
-261.219942,200,45.303365
-256.772818,200,48.696412
-1.271009,200,52.098521
-126.398374,200,55.505434
-127.409918,200,58.907705
-264.448114,200,62.194822
-122.020082,200,65.499454
-125.204354,200,68.806166
-1023.394529,200,72.116708
-117.74895,200,75.410545
-129.192942,200,78.715747
-127.664089,200,82.02283
-0.580925,200,85.334928
-123.676985,200,88.647456
-125.618316,200,91.956315
-228.657366,200,95.274872
-114.371367,200,98.594445
-232.35641,200,101.924093
-249.648348,200,105.247722
-115.601572,200,108.566577
-127.619228,200,111.877354
-115.851717,200,115.167095
-246.020177,200,118.476842
-125.318893,200,121.780955
-118.051768,200,125.078188
-125.338492,200,128.37332
-3.132029,200,131.66521
-117.533364,200,134.988077
-127.267749,200,138.31125
-115.241267,200,141.62402
-122.441482,200,144.940541
-115.481747,200,148.26333
-114.237898,200,151.584209
-0.533603,200,154.903961
-121.700393,200,158.225085
-235.426063,200,161.545392
-336.509814,200,164.876483
-124.069122,200,168.195497
-1.640666,200,171.506284
-120.248717,200,174.812677
-118.774537,200,178.116533
-119.313363,200,181.416486
-120.391551,200,184.709899
-119.550157,200,188.014487
-280.340551,200,191.320626
-235.651936,200,194.637247
-121.095415,200,197.929782
-114.148525,200,201.235088
-123.581813,200,204.558222
-121.51822,200,208.016213
-226.999424,200,211.400489
-119.583944,200,214.729636
-125.919894,200,218.272017
-119.099306,200,221.640343
-0.497412,200,224.987422
-127.822722,200,228.373213
-123.508892,200,231.901031
-0.610411,200,235.240863
-333.179128,200,238.600369
-120.864797,200,242.06336
-120.524193,200,245.514266
-121.942427,200,248.97299
-1.197912,200,252.57624
-2.3624,200,255.972012
-119.722844,200,259.408186
-118.823481,200,262.881009
-121.479698,200,266.278714
-227.062851,200,269.734844
-123.413364,200,273.182523
-233.763225,200,276.569027
-123.472428,200,279.948697
-125.755057,200,283.520736
-227.295647,200,287.002461
-121.026542,200,290.452218
-121.484325,200,293.857587
-249.760357,200,297.269692
-124.580419,200,300.648012
-121.848034,200,304.21175
-2.919874,200,307.819243
-118.31907,200,311.535514
-121.726912,200,315.07192
-124.829787,200,318.661785
-245.227146,200,322.232125
-129.126376,200,325.711962
-121.438052,200,329.538198
-128.525755,200,333.02774
-244.262403,200,336.46027
