#{"t_start": 1650971687.924321, "env_id": "HalfCheetah-v3"}
r,l,t
-280.899633,1000,0.287821
-229.097936,1000,0.547425
-265.292994,1000,0.796639
-237.16897,1000,1.063679
-143.506761,1000,1.32025
-232.045259,1000,1.578246
-283.390803,1000,1.828929
-242.257,1000,2.078334
-285.049352,1000,2.359702
-184.625704,1000,2.6119
-16.644413,1000,3.071035
-550.333089,1000,13.20436
-581.466474,1000,23.628645
-451.732186,1000,34.053043
-495.672365,1000,44.575657
-354.046814,1000,55.173151
-436.852105,1000,65.755388
-584.016537,1000,76.409803
-97.694542,1000,87.01646
450.968194,1000,97.640835
